!ALA_ASP_M_RXN_ASPT	:	asp_L_c -> fum_c + nh4_c	! LEFT-TO-RIGHT	! C4H6NO4 -> C4H2O4 + H4N	! -1 -> -2 + 1	! L-aspartase	! Alanine and Aspartate Metabolism	! b4139	! aspA
!ALT_CABON_M_RXN_G6PDA	:	gam6p_c + h2o_c -> nh4_c + f6p_c	! LEFT-TO-RIGHT	! C6H13NO8P + H2O -> H4N + C6H11O9P	! -1 + 0 -> 1 + -2	! glucosamine-6-phosphate deaminase	! Alternate Carbon Metabolism	! b0678	! nagB
!ALT_CABON_M_RXN_HPYRRx	:	hpyr_c + nadh_c + h_c -> glyc_R_c + nad_c	! LEFT-TO-RIGHT	! C3H3O4 + C21H27N7O14P2 + H -> C3H5O4 + C21H26N7O14P2	! -1 + -2 + 1 -> -1 + -1	! Hydroxypyruvate reductase (NADH)	! Alternate Carbon Metabolism	! b1033|b3553	! ghrA|ghrB
!ALT_CABON_M_RXN_HPYRRy	:	nadph_c + h_c + hpyr_c -> nadp_c + glyc_R_c	! LEFT-TO-RIGHT	! C21H26N7O17P3 + H + C3H3O4 -> C21H25N7O17P3 + C3H5O4	! -4 + 1 + -1 -> -3 + -1	! Hydroxypyruvate reductase (NADPH)	! Alternate Carbon Metabolism	! b1033|b3553	! ghrA|ghrB
!ALT_CABON_M_RXN_IDOND2	:	h_c + 5dglcn_c + nadph_c -> nadp_c + idon_L_c	! LEFT-TO-RIGHT	! H + C6H9O7 + C21H26N7O17P3 -> C21H25N7O17P3 + C6H11O7	! 1 + -1 + -4 -> -3 + -1	! L-indonate 5-dehydrogenase (NADP)	! Alternate Carbon Metabolism	! b4267	! idnD
!ALT_CABON_M_RXN_PPCSCT	:	succ_c + ppcoa_c -> ppa_c + succoa_c	! LEFT-TO-RIGHT	! C4H4O4 + C24H36N7O17P3S -> C3H5O2 + C25H35N7O19P3S	! -2 + -4 -> -1 + -5	! Propanoyl-CoA: succinate CoA-transferase	! Alternate Carbon Metabolism	! b2920	! scpC
!CENV_BS_RXN_FACOAL60t2pp	:	atp_c + coa_c + hxa_p + h_p -> amp_c + ppi_c + hxcoa_c + h_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + C21H32N7O16P3S + C6H11O2 + H -> C10H12N5O7P + HO7P2 + C27H42N7O17P3S + H	! -4 + -4 + -1 + 1 -> -2 + -3 + -4 + 1	! fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling)	! Cell Envelope Biosynthesis	! b1805|b1701	! fadD|fadK
!COF_PRG_BS_RXN_ICHORSi	:	chor_c -> ichor_c	! LEFT-TO-RIGHT	! C10H8O6 -> C10H8O6	! -2 -> -2	! Isochorismate Synthase	! Cofactor and Prosthetic Group Biosynthesis	! b0593	! entC
!GLU_M_RXN_GLUN	:	h2o_c + gln_L_c -> nh4_c + glu_L_c	! LEFT-TO-RIGHT	! H2O + C5H10N2O3 -> H4N + C5H8NO4	! 0 + 0 -> 1 + -1	! glutaminase	! Glutamate Metabolism	! b1812|b0485|b1524	! pabB|ybaS|yneH
!GLYOX_M_RXN_GLYCLTDy	:	nadph_c + h_c + glx_c -> nadp_c + glyclt_c	! LEFT-TO-RIGHT	! C21H26N7O17P3 + H + C2H1O3 -> C21H25N7O17P3 + C2H3O3	! -4 + 1 + -1 -> -3 + -1	! Glycolate dehydrogenase (NADP)	! Glyoxylate Metabolism	! b1033|b3553	! ghrA|ghrB
!II_TR_M_RXN_CD2t3pp	:	h_p + cd2_c -> cd2_p + h_c	! LEFT-TO-RIGHT	! H + Cd -> Cd + H	! 1 + 2 -> 2 + 1	! cadmium (Cd+2) transport out via proton antiport (periplasm)	! Inorganic Ion Transport and Metabolism	! b3915|b0752	! fieF|zitB
!II_TR_M_RXN_COBALT2t3pp	:	cobalt2_c + h_p -> h_c + cobalt2_p	! LEFT-TO-RIGHT	! Co + H -> H + Co	! 2 + 1 -> 1 + 2	! cobalt (Co+2) transport out via proton antiport (periplasm)	! Inorganic Ion Transport and Metabolism	! b0752|b3915	! zitB|fieF
!II_TR_M_RXN_FE2t3pp	:	h_p + fe2_c -> fe2_p + h_c	! LEFT-TO-RIGHT	! H + Fe -> Fe + H	! 1 + 2 -> 2 + 1	! iron (Fe+2) transport out via proton antiport (periplasm)	! Inorganic Ion Transport and Metabolism	! b3915	! fieF
!II_TR_M_RXN_Kt3pp	:	h_p + k_c -> k_p + h_c	! LEFT-TO-RIGHT	! H + K -> K + H	! 1 + 1 -> 1 + 1	! potassium transport out via proton antiport (periplasm)	! Inorganic Ion Transport and Metabolism	! b1216|b0842|b3350|b0047	! chaA|mdfA|kefB|kefC
!II_TR_M_RXN_MN2t3pp	:	mn2_c + h_p -> h_c + mn2_p	! LEFT-TO-RIGHT	! Mn + H -> H + Mn	! 2 + 1 -> 1 + 2	! manganese (Mn+2) transport out via proton antiport (periplasm)	! Inorganic Ion Transport and Metabolism	! b3915|b0752	! fieF|zitB
!II_TR_M_RXN_NAt3_1p5pp	:	3.0 * h_p + 2.0 * na1_c -> 2.0 * na1_p + 3.0 * h_c	! LEFT-TO-RIGHT	! 3.0 * H + 2.0 * Na -> 2.0 * Na + 3.0 * H	! 3.0 * 1 + 2.0 * 1 -> 2.0 * 1 + 3.0 * 1	! sodium proton antiporter (H:NA is 1.5) (periplasm)	! Inorganic Ion Transport and Metabolism	! b1186	! nhaB
!II_TR_M_RXN_NAt3_2pp	:	2.0 * h_p + na1_c -> na1_p + 2.0 * h_c	! LEFT-TO-RIGHT	! 2.0 * H + Na -> Na + 2.0 * H	! 2.0 * 1 + 1 -> 1 + 2.0 * 1	! sodium proton antiporter (H:NA is 2) (periplasm)	! Inorganic Ion Transport and Metabolism	! b0019	! nhaA
!II_TR_M_RXN_NI2t3pp	:	ni2_c + h_p -> ni2_p + h_c	! LEFT-TO-RIGHT	! Ni + H -> Ni + H	! 2 + 1 -> 2 + 1	! nickle (Ni+2) transport out via proton antiport (periplasm)	! Inorganic Ion Transport and Metabolism	! b3915|b0752	! fieF|zitB
!II_TR_M_RXN_PIuabcpp	:	atp_c + pi_p + h2o_c -> adp_c + h_c + 2.0 * pi_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + HO4P + H2O -> C10H12N5O10P2 + H + 2.0 * HO4P	! -4 + -2 + 0 -> -3 + 1 + 2.0 * -2	! phosphate transport via ABC system (uptake, periplasm)	! Inorganic Ion Transport and Metabolism	! b3726&b3725&b3727&b3728	! pstA&pstB&pstC&pstS
!II_TR_M_RXN_ZN2t3pp	:	zn2_c + h_p -> zn2_p + h_c	! LEFT-TO-RIGHT	! Zn + H -> Zn + H	! 2 + 1 -> 2 + 1	! zinc (Zn+2) transport out via proton antiport (periplasm)	! Inorganic Ion Transport and Metabolism	! b3915|b0752	! fieF|zitB
!LPS_BS_RCYL_RXN_LIPAHT2ex	:	h_e + hdca_e + colipa_e -> hacolipa_e + h2o_e	! LEFT-TO-RIGHT	! H + C16H31O2 + C176H303N2O100P4 -> C192H333N2O101P4 + H2O	! 1 + -1 + -11 -> -11 + 0	! core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	! Lipopolysaccharide Biosynthesis / Recycling	! b0622	! pagP
!LPS_BS_RCYL_RXN_LIPAHTex	:	lipa_e + hdca_e + h_e -> halipa_e + h2o_e	! LEFT-TO-RIGHT	! C110H196N2O39P2 + C16H31O2 + H -> C126H226N2O40P2 + H2O	! -6 + -1 + 1 -> -6 + 0	! Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	! Lipopolysaccharide Biosynthesis / Recycling	! b0622	! pagP
!OXPHOS_RXN_NADTRHD	:	nadph_c + nad_c -> nadp_c + nadh_c	! LEFT-TO-RIGHT	! C21H26N7O17P3 + C21H26N7O14P2 -> C21H25N7O17P3 + C21H27N7O14P2	! -4 + -1 -> -3 + -2	! NAD transhydrogenase	! Oxidative Phosphorylation	! b3962|b1602&b1603	! sthA|pntB&pntA
!PYRU_M_RXN_ACS	:	atp_c + coa_c + ac_c -> amp_c + ppi_c + accoa_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + C21H32N7O16P3S + C2H3O2 -> C10H12N5O7P + HO7P2 + C23H34N7O17P3S	! -4 + -4 + -1 -> -2 + -3 + -4	! acetyl-CoA synthetase	! Pyruvate Metabolism	! b4069	! acs
!TRANSPORT		:	4crsol_c -> 4crsol_e
!TRANSPORT2		:	5drib_c -> 5drib_e
!TRANSPORT3		:	amob_c -> amob_e
!TRANSPORT4		:	meoh_c -> meoh_e
!TR_IM_RXN_ALAabcpp	:	atp_c + h2o_c + ala_L_p -> adp_c + h_c + ala_L_c + pi_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + H2O + C3H7NO2 -> C10H12N5O10P2 + H + C3H7NO2 + HO4P	! -4 + 0 + 0 -> -3 + 1 + 0 + -2	! L-alanine transport via ABC system (periplasm)	! Transport, Inner Membrane	! b3454&b3455&b3457&b3460&b3456	! livF&livG&livH&livJ&livM
!TR_IM_RXN_ASNabcpp	:	atp_c + h2o_c + asn_L_p -> asn_L_c + h_c + pi_c + adp_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + H2O + C4H8N2O3 -> C4H8N2O3 + H + HO4P + C10H12N5O10P2	! -4 + 0 + 0 -> 0 + 1 + -2 + -3	! L-asparagine transport via ABC system (periplasm)	! Transport, Inner Membrane	! Unknown	! Unknown
!TR_IM_RXN_ASPabcpp	:	atp_c + asp_L_p + h2o_c -> adp_c + h_c + pi_c + asp_L_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + C4H6NO4 + H2O -> C10H12N5O10P2 + H + HO4P + C4H6NO4	! -4 + -1 + 0 -> -3 + 1 + -2 + -1	! L-aspartate transport via ABC system (periplasm)	! Transport, Inner Membrane	! b0655&b0654&b0653&b0652	! gltI&gltJ&gltK&gltL
!TR_IM_RXN_ASPt2_2pp	:	2.0 * h_p + asp_L_p -> asp_L_c + 2.0 * h_c	! LEFT-TO-RIGHT	! 2.0 * H + C4H6NO4 -> C4H6NO4 + 2.0 * H	! 2.0 * 1 + -1 -> -1 + 2.0 * 1	! Aspartate transport via proton symport (2 H) (periplasm)	! Transport, Inner Membrane	! b3528	! dctA
!TR_IM_RXN_ASPt2_3pp	:	3.0 * h_p + asp_L_p -> asp_L_c + 3.0 * h_c	! LEFT-TO-RIGHT	! 3.0 * H + C4H6NO4 -> C4H6NO4 + 3.0 * H	! 3.0 * 1 + -1 -> -1 + 3.0 * 1	! L-asparate transport via proton symport (3 H) (periplasm)	! Transport, Inner Membrane	! b4138|b4123	! dcuA|dcuB
!TR_IM_RXN_FORt2pp	:	for_p + h_p -> for_c + h_c	! LEFT-TO-RIGHT	! CH1O2 + H -> CH1O2 + H	! -1 + 1 -> -1 + 1	! formate transport via proton symport (uptake only, periplasm)	! Transport, Inner Membrane	! b0904|b2492	! focA|focB
!TR_IM_RXN_GLUabcpp	:	atp_c + h2o_c + glu_L_p -> glu_L_c + h_c + pi_c + adp_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + H2O + C5H8NO4 -> C5H8NO4 + H + HO4P + C10H12N5O10P2	! -4 + 0 + -1 -> -1 + 1 + -2 + -3	! L-glutamate transport via ABC system (periplasm)	! Transport, Inner Membrane	! b0655&b0654&b0653&b0652	! gltI&gltJ&gltK&gltL
!TR_IM_RXN_THRt2pp	:	h_p + thr_L_c -> thr_L_p + h_c	! LEFT-TO-RIGHT	! H + C4H9NO3 -> C4H9NO3 + H	! 1 + 0 -> 0 + 1	! L-threonine efflux transport via proton antiport (periplasm)	! Transport, Inner Membrane	! b0813|b3823	! rhtA|rhtC
ALA_ASP_M_RXN_ALAR	:	ala_L_c <-> ala_D_c	! REVERSIBLE	! C3H7NO2 <-> C3H7NO2	! 0 <-> 0	! alanine racemase	! Alanine and Aspartate Metabolism	! b1190|b4053	! dadX|alr
ALA_ASP_M_RXN_ALATA_L	:	akg_c + ala_L_c <-> glu_L_c + pyr_c	! REVERSIBLE	! C5H4O5 + C3H7NO2 <-> C5H8NO4 + C3H3O3	! -2 + 0 <-> -1 + -1	! L-alanine transaminase	! Alanine and Aspartate Metabolism	! b2290|b2379	! alaA|alaC
ALA_ASP_M_RXN_ASNN	:	asn_L_c + h2o_c -> nh4_c + asp_L_c	! LEFT-TO-RIGHT	! C4H8N2O3 + H2O -> H4N + C4H6NO4	! 0 + 0 -> 1 + -1	! L-asparaginase	! Alanine and Aspartate Metabolism	! b1767|b0828	! ansA|iaaA
ALA_ASP_M_RXN_ASNNpp	:	asn_L_p + h2o_p -> asp_L_p + nh4_p	! LEFT-TO-RIGHT	! C4H8N2O3 + H2O -> C4H6NO4 + H4N	! 0 + 0 -> -1 + 1	! L-asparaginase	! Alanine and Aspartate Metabolism	! b2957	! ansB
ALA_ASP_M_RXN_ASNS2	:	atp_c + asp_L_c + nh4_c <-> amp_c + ppi_c + asn_L_c + h_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + C4H6NO4 + H4N -> C10H12N5O7P + HO7P2 + C4H8N2O3 + H	! -4 + -1 + 1 -> -2 + -3 + 0 + 1	! asparagine synthetase	! Alanine and Aspartate Metabolism	! b3744	! asnA
ALA_ASP_M_RXN_ASPTA	:	asp_L_c + akg_c <-> oaa_c + glu_L_c	! REVERSIBLE	! C4H6NO4 + C5H4O5 <-> C4H2O5 + C5H8NO4	! -1 + -2 <-> -2 + -1	! aspartate transaminase	! Alanine and Aspartate Metabolism	! b0928	! aspC
ALA_ASP_M_RXN_DAAD	:	h2o_c + fad_c + ala_D_c -> pyr_c + fadh2_c + nh4_c	! LEFT-TO-RIGHT	! H2O + C27H31N9O15P2 + C3H7NO2 -> C3H3O3 + C27H33N9O15P2 + H4N	! 0 + -2 + 0 -> -1 + -2 + 1	! D-Amino acid dehydrogenase	! Alanine and Aspartate Metabolism	! b1189	! dadA
ALKANE_BIOSYNTHESIS_1	:	palmACP_c + h_c + nadph_c -> nadp_c + ACP_c + palmald_c
ALKANE_BIOSYNTHESIS_2	:	palmald_c + o2_c +  2*nadph_c + h_c -> pentadecane_c + 2*nadp_c + h2o_c + for_c
ALKANE_BIOSYNTHESIS_3	:	pentadecane_c -> pentadecane_e
ALT_CABON_M_RXN_5DGLCNR	:	5dglcn_c + h_c + nadph_c <-> nadp_c + glcn_c	! REVERSIBLE	! C6H9O7 + H + C21H26N7O17P3 <-> C21H25N7O17P3 + C6H11O7	! -1 + 1 + -4 <-> -3 + -1	! 5-dehydro-D-gluconate reductase	! Alternate Carbon Metabolism	! b4266	! idnO
ALT_CABON_M_RXN_A5PISO	:	ru5p_D_c <-> ara5p_c	! REVERSIBLE	! C5H9O8P <-> C5H9O8P	! -2 <-> -2	! arabinose-5-phosphate isomerase	! Alternate Carbon Metabolism	! b3197|b2708	! kdsD|gutQ
ALT_CABON_M_RXN_ACM6PH	:	h2o_c + acmum6p_c -> lac_D_c + acgam6p_c	! LEFT-TO-RIGHT	! H2O + C11H17NO11P -> C3H5O3 + C8H14NO9P	! 0 + -3 -> -1 + -2	! N-acetylmuramate 6-phosphate hydrolase	! Alternate Carbon Metabolism	! b2428	! murQ
ALT_CABON_M_RXN_ADNUC	:	h2o_c + adn_c -> ade_c + rib_D_c	! LEFT-TO-RIGHT	! H2O + C10H13N5O4 -> C5H5N5 + C5H10O5	! 0 + 0 -> 0 + 0	! adenosine hydrolase	! Alternate Carbon Metabolism	! b0030	! rihC
ALT_CABON_M_RXN_AGDC	:	h2o_c + acgam6p_c -> gam6p_c + ac_c	! LEFT-TO-RIGHT	! H2O + C8H14NO9P -> C6H13NO8P + C2H3O2	! 0 + -2 -> -1 + -1	! N-acetylglucosamine-6-phosphate deacetylase	! Alternate Carbon Metabolism	! b0677	! nagA
ALT_CABON_M_RXN_ALCD19	:	h_c + nadh_c + glyald_c <-> glyc_c + nad_c	! REVERSIBLE	! H + C21H27N7O14P2 + C3H6O3 <-> C3H8O3 + C21H26N7O14P2	! 1 + -2 + 0 <-> 0 + -1	! alcohol dehydrogenase (glycerol)	! Alternate Carbon Metabolism	! b0356	! frmA
ALT_CABON_M_RXN_ALDD2x	:	h2o_c + nad_c + acald_c -> nadh_c + ac_c + 2.0 * h_c	! LEFT-TO-RIGHT	! H2O + C21H26N7O14P2 + C2H4O -> C21H27N7O14P2 + C2H3O2 + 2.0 * H	! 0 + -1 + 0 -> -2 + -1 + 2.0 * 1	! aldehyde dehydrogenase (acetaldehyde, NAD)	! Alternate Carbon Metabolism	! b1300	! puuC
ALT_CABON_M_RXN_ALDD2y	:	h2o_c + nadp_c + acald_c -> nadph_c + ac_c + 2.0 * h_c	! LEFT-TO-RIGHT	! H2O + C21H25N7O17P3 + C2H4O -> C21H26N7O17P3 + C2H3O2 + 2.0 * H	! 0 + -3 + 0 -> -4 + -1 + 2.0 * 1	! aldehyde dehydrogenase (acetaldehyde, NADP)	! Alternate Carbon Metabolism	! b3588	! aldB
ALT_CABON_M_RXN_ALLTAMH	:	2.0 * h2o_c + alltt_c + 2.0 * h_c -> urdglyc_c + 2.0 * nh4_c + co2_c	! LEFT-TO-RIGHT	! 2.0 * H2O + C4H7N4O4 + 2.0 * H -> C3H5N2O4 + 2.0 * H4N + CO2	! 2.0 * 0 + -1 + 2.0 * 1 -> -1 + 2.0 * 1 + 0	! allantoate amidohydrolase	! Alternate Carbon Metabolism	! b0516	! allC
ALT_CABON_M_RXN_BUTCT	:	but_c + accoa_c <-> ac_c + btcoa_c	! LEFT-TO-RIGHT	! C4H7O2 + C23H34N7O17P3S -> C2H3O2 + C25H38N7O17P3S	! -1 + -4 -> -1 + -4	! Acetyl-CoA:butyrate-CoA transferase	! Alternate Carbon Metabolism	! b2221&b2222	! atoD&atoA
ALT_CABON_M_RXN_CYTDH	:	h2o_c + cytd_c -> csn_c + rib_D_c	! LEFT-TO-RIGHT	! H2O + C9H13N3O5 -> C4H5N3O + C5H10O5	! 0 + 0 -> 0 + 0	! Cytidine hydrolase	! Alternate Carbon Metabolism	! b2162|b0651|b0030	! rihB|rihA|rihC
ALT_CABON_M_RXN_DHAPT	:	pep_c + dha_c -> dhap_c + pyr_c	! LEFT-TO-RIGHT	! C3H2O6P + C3H6O3 -> C3H5O6P + C3H3O3	! -3 + 0 -> -2 + -1	! Dihydroxyacetone phosphotransferase	! Alternate Carbon Metabolism	! b1200&b1199&b1198&b2415&b2416	! dhaK&dhaL&dhaM&ptsH&ptsI
ALT_CABON_M_RXN_DRPA	:	2dr5p_c -> acald_c + g3p_c	! LEFT-TO-RIGHT	! C5H9O7P -> C2H4O + C3H5O6P	! -2 -> 0 + -2	! deoxyribose-phosphate aldolase	! Alternate Carbon Metabolism	! b4381	! deoC
ALT_CABON_M_RXN_F6PP	:	f6p_c + h2o_c -> fru_c + pi_c	! LEFT-TO-RIGHT	! C6H11O9P + H2O -> C6H12O6 + HO4P	! -2 + 0 -> 0 + -2	! D-fructose 6-phosphate phosphatase	! Alternate Carbon Metabolism	! b0822	! ybiV
ALT_CABON_M_RXN_G3PD2	:	nadp_c + glyc3p_c <-> nadph_c + h_c + dhap_c	! REVERSIBLE	! C21H25N7O17P3 + C3H7O6P <-> C21H26N7O17P3 + H + C3H5O6P	! -3 + -2 <-> -4 + 1 + -2	! glycerol-3-phosphate dehydrogenase (NADP)	! Alternate Carbon Metabolism	! b3608	! gpsA
ALT_CABON_M_RXN_G3PT	:	glyc3p_c + h2o_c <-> glyc_c + pi_c	! LEFT-TO-RIGHT	! C3H7O6P + H2O -> C3H8O3 + HO4P	! -2 + 0 -> 0 + -2	! glycerol-3-phosphatase	! Alternate Carbon Metabolism	! b0822	! ybiV
ALT_CABON_M_RXN_GGGABADr	:	h2o_c + nadp_c + ggbutal_c <-> nadph_c + 2.0 * h_c + gg4abut_c	! REVERSIBLE	! H2O + C21H25N7O17P3 + C9H16O4N2 <-> C21H26N7O17P3 + 2.0 * H + C9H15O5N2	! 0 + -3 + 0 <-> -4 + 2.0 * 1 + -1	! gamma-glutamyl-gamma aminobutyric acid dehydrogenase	! Alternate Carbon Metabolism	! b1300	! puuC
ALT_CABON_M_RXN_GGGABAH	:	gg4abut_c + h2o_c -> 4abut_c + glu_L_c	! LEFT-TO-RIGHT	! C9H15O5N2 + H2O -> C4H9NO2 + C5H8NO4	! -1 + 0 -> 0 + -1	! gamma-glutamyl-gamma-aminobutyric acid hydrolase	! Alternate Carbon Metabolism	! b1298	! puuD
ALT_CABON_M_RXN_GGPTRCO	:	ggptrc_c + h2o_c + o2_c -> ggbutal_c + nh4_c + h2o2_c	! LEFT-TO-RIGHT	! C9H20O3N3 + H2O + O2 -> C9H16O4N2 + H4N + H2O2	! 1 + 0 + 0 -> 0 + 1 + 0	! gamma glutamyl putrescine oxidase	! Alternate Carbon Metabolism	! b1301	! puuB
ALT_CABON_M_RXN_GGPTRCS	:	atp_c + glu_L_c + ptrc_c -> adp_c + ggptrc_c + h_c + pi_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + C5H8NO4 + C4H14N2 -> C10H12N5O10P2 + C9H20O3N3 + H + HO4P	! -4 + -1 + 2 -> -3 + 1 + 1 + -2	! gamma glutamyl putrescine synthase	! Alternate Carbon Metabolism	! b1297	! puuA
ALT_CABON_M_RXN_GLYCDx	:	glyc_c + nad_c -> dha_c + h_c + nadh_c	! LEFT-TO-RIGHT	! C3H8O3 + C21H26N7O14P2 -> C3H6O3 + H + C21H27N7O14P2	! 0 + -1 -> 0 + 1 + -2	! Glycerol dehydrogenase	! Alternate Carbon Metabolism	! b3945	! gldA
ALT_CABON_M_RXN_GLYCTO2	:	q8_c + glyclt_c -> glx_c + q8h2_c	! LEFT-TO-RIGHT	! C49H74O4 + C2H3O3 -> C2H1O3 + C49H76O4	! 0 + -1 -> -1 + 0	! Glycolate oxidase	! Alternate Carbon Metabolism	! b2979&b4467&b4468	! glcD&glcF&glcE
ALT_CABON_M_RXN_GLYCTO3	:	glyclt_c + mqn8_c -> mql8_c + glx_c	! LEFT-TO-RIGHT	! C2H3O3 + C51H72O2 -> C51H74O2 + C2H1O3	! -1 + 0 -> 0 + -1	! Glycolate oxidase	! Alternate Carbon Metabolism	! b2979&b4467&b4468	! glcD&glcF&glcE
ALT_CABON_M_RXN_GLYCTO4	:	2dmmq8_c + glyclt_c -> 2dmmql8_c + glx_c	! LEFT-TO-RIGHT	! C50H70O2 + C2H3O3 -> C50H72O2 + C2H1O3	! 0 + -1 -> 0 + -1	! Glycolate oxidase	! Alternate Carbon Metabolism	! b2979&b4467&b4468	! glcD&glcF&glcE
ALT_CABON_M_RXN_GLYK	:	glyc_c + atp_c -> h_c + glyc3p_c + adp_c	! LEFT-TO-RIGHT	! C3H8O3 + C10H12N5O13P3 -> H + C3H7O6P + C10H12N5O10P2	! 0 + -4 -> 1 + -2 + -3	! glycerol kinase	! Alternate Carbon Metabolism	! b3926	! glpK
ALT_CABON_M_RXN_GNK	:	atp_c + glcn_c -> 6pgc_c + h_c + adp_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + C6H11O7 -> C6H10O10P + H + C10H12N5O10P2	! -4 + -1 -> -3 + 1 + -3	! gluconokinase	! Alternate Carbon Metabolism	! b4268|b3437	! idnK|gntK
